id,name,price,rating,role,group2_id,img,final_rating,dr
1,Rohit Sharma,2,0,Bat,1,https://lh3.google.com/u/0/d/1KyS51oHGh58NngDquzMbav2XsIGrrmCB,0,1
2,Jos Buttler,1.5,0,Bat,1,https://lh3.google.com/u/0/d/1BDzD8TRE6vIaka4lWhbbec3d-zlIhavL,0,0
3,Quinton Decock,1.5,0,Bat,1,https://lh3.google.com/u/0/d/1cOOC-g6CggCm_c9m-p-dkMJ570tbzgmh,0,0
4,KL Rahul,1.5,0,Bat,1,https://lh3.google.com/u/0/d/1rgVnyPQZ6xb50EmwR3rwTFb-ymMJfZCU,0,0
5,Virat Kohli,1.5,0,Bat,1,https://lh3.google.com/u/0/d/1eyeWBmax-egwCOWl2WIKJtxVI2zbald4,0,1
6,Surya Kumar Yadav,1.75,0,Bat,1,https://lh3.google.com/u/0/d/1H3sRgTkmVGEDAx_ERclzWdMyNAY41TCY,0,1
7,Deepak Hooda,1.25,0,All,1,https://lh3.google.com/u/0/d/1D8rg_gwnL2AhEX0jFkOWKBn_41wxfVOl,0,-0.5
8,Rassie van der dussean,1.5,0,Bat,1,https://lh3.google.com/u/0/d/1aeW3LceP4x8ZhFdS6GV5oLLvXURNFOT6,0,0
9,Rishabh Pant,1.75,0,Bat,1,https://lh3.google.com/u/0/d/1rLJSs5H67E77jSasaCwxzhphWjX7kflb,0,0
10,Tilak Verma,0.75,0,Bat,1,https://lh3.google.com/u/0/d/1BuBqOFKhENRPKH1WAus4hNdJemURPBBt,0,-0.5
11,Moeen Ali,1,0,All,1,https://lh3.google.com/u/0/d/1ecRcbFZ4vqten8eiEAKkj2dOAoSmQZyo,0,-0.5
12,Liam Livingstone,0.75,0,All,1,https://lh3.google.com/u/0/d/1X5u9vwmaBQaVscgHTMMkPXQYe8PoE1He,0,-0.5
13,Hardik Pandya,2,0,All,1,https://lh3.google.com/u/0/d/1LJqK8lMTniqh1TNJ5tS03Lvp2gF_VZoS,0,0.5
14,Ben Stokes,1,0,All,1,https://lh3.google.com/u/0/d/1elqeOTQSFN4TbNplFTEcmmd2eFKLfaYv/view?usp=drive_link,0,0.5
15,Ravichandran Ashwin,1.5,0,Bowl,1,https://lh3.google.com/u/0/d/1oe-eF4luAm356rb0WHQx2stzEAbacxYK/view?usp=drive_link,0,-0.5
16,Rashid Khan,2,0,Bowl,1,https://lh3.google.com/u/0/d/1FvEnmuUnWJMUr0QOmW5qfrxdnHLQB83e,0,-0.5
